Test,Judge,You
1,15,16
2,31,16
3,15,16
4,16,15
5,16,16
6,15,16
7,15,16
8,31,16
9,16,15
10,16,15
11,16,16
12,15,16
13,15,16
14,16,15
15,16,16
16,15,16
17,31,16
18,15,16
19,16,15
20,16,15
21,16,16
22,15,16
23,16,31
24,15,16
25,16,15
26,16,16
27,15,17
28,16,15
29,16,16
30,15,16
31,15,16
32,16,15
33,16,16
34,15,16
35,16,15
36,31,0
37,0,16
38,31,15
39,16,0
40,31,16
41,15,16
42,16,15
43,16,16
44,15,16
45,15,16
46,16,15
47,16,16
48,15,16
49,15,16
50,16,15
51,16,16
52,15,16
53,15,16
54,16,15
55,16,31
56,16,15
57,16,16
58,15,16
59,16,15
60,16,15
61,18,16
62,15,16
63,16,15
64,16,22
65,15,16
66,15,16
67,16,15
68,16,16
69,15,16
70,15,16
71,31,0
72,0,31
73,16,15
74,16,16
75,15,16
76,15,16
77,16,15
78,16,16
79,15,16
80,15,16
81,16,15
82,16,15
83,16,16
84,15,16
85,16,15
86,31,16
87,16,15
88,16,16
89,15,16
90,15,16
91,16,15
92,16,16
93,15,16
94,15,16
95,16,15
96,16,16
97,15,16
98,15,16
99,16,15
100,16,16
